ID,Main_Part_ID,Secondary_Part_ID,Sheet_Element_ID,Color,Rebrickable_Name,"Official_Name, Category"
E88,50163.0,,4624645.0,Black/Medium Stone Grey,"Technic Turntable Large Type 2, with Black Outside Gear Section (24/56 Teeth) [Complete Assembly]",Turntable Ø4.85,Functional Elements
C64,55013.0,,4499858.0,Dark Stone Grey,Technic Axle 8 with Stop,Cross Axle 8M With End Stop,Connectors
C65,55615.0,49130.0,4296059.0,Medium Stone Grey,Technic Pin Connector Hub Perpendicular 3 x 3 Bent with 4 Pins (Pin Ridges Across Part),Angular Beam 90° W.4 Snaps,Modified Technic Beams
E91,55982.0,,4490127.0,Medium Stone Grey,"Wheel 18 x 14 with Axle Hole, Fake Bolts and Shallow Spokes",Rim Wide 18/14 W. Cross Ø4.8,Large Tyres & Rims
E92,56145.0,,4297210.0,Medium Stone Grey,"Wheel 30.4 x 20 without Pinholes, with Reinforced Rim",Rim Wide W. Cross 30/20,Large Tyres & Rims
C66,56908.0,51488.0,4634091.0,Medium Stone Grey,Wheel 43.2 x 26 Technic Racing Small with 6 Pinholes,Rim Wide 43.2 X 26 W 6 Hol.Ø 4.8,Large Tyres & Rims
C67,57519.0,,4582792.0,Black,Technic Tread Sprocket Wheel Large,"Sprocket, ø40,7",Modified Tyres & Rims
E95,57539.0,14925.0,6044636.0,Silver Metallic,Flexible Ribbed Hose 8mm Ends 19L,Flex Hose 19M W/3. 18 Stick,Cables & Hoses
C68,57585.0,,4502595.0,Medium Stone Grey,Technic Axle Connector Hub with 3 Axles at 120°,3-Branch Cross Axle W/Cross H.,Connectors
E96,59426.0,,4508553.0,Dark Stone Grey,Technic Axle 5.5 with Stop [Rounded Short End],"Cross Axle 5,5 With Stop 1M",Connectors
C69,59443.0,,4513174.0,Bright Red,Technic Axle Connector Smooth [with x Hole + Orientation],"Cross Axle, Extension, 2M",Connectors
E98,59900.0,28701.0,4544720.0,Transparent Red,Cone 1 x 1 [Top Groove],Nose Cone Small 1X1,"Bricks, Round & Angles"
C70,60483.0,40147.0,6006140.0,Black,Technic Beam 1 x 2 Thick with Pin Hole and Axle Hole,Beam 1X2 W/Cross and Hole,Modified Technic Beams
C71,60484.0,,4552347.0,Black,Technic Beam 3 x 3 T-Shape Thick,T-Beam 3X3 W/Hole Ø4.8,Technic Beams
C72,60485.0,,4535768.0,Medium Stone Grey,Technic Axle 9,Cross Axle 9M,Connectors
E102,61903.0,,4525904.0,Medium Stone Grey,Technic Universal Joint 3L [Complete Assembly],Universal Joint,Connectors
C73,62462.0,29219.0,4526985.0,Medium Stone Grey,Technic Pin Connector Round [Slotted],"Tube, W/ Double 4.85 Hole",Connectors
E104,62821.0,,4525184.0,Dark Stone Grey,"Technic Gear Differential with Inner Tabs and Closed Center, 28 Bevel Teeth [Beveled Edge]",Differentiale 3M Z 28,Gears & Gear Racks
C74,63869.0,42191.0,4538007.0,Medium Stone Grey,Technic Axle and Pin Connector Perpendicular Triple,Cross Block 3X2,Modified Technic Beams
C75,64178.0,,4540797.0,Medium Stone Grey,Technic Beam 5 x 11 Open Center Frame Thick,Beam R. Frame 5X11 Ø4.85,Modified Technic Beams
C76,64179.0,,4539880.0,Medium Stone Grey,Technic Beam Frame 5 x 7 Open Center Thick,Beam Frame 5X7 Ø 4.85,Modified Technic Beams
E108,64391.0,,4541325.0,Black,"Technic Panel Fairing # 4 Small Smooth Long, Side B",Right Panel 3X7,Technic Beams with Shapes
C77,64392.0,,4541326.0,Black,"Technic Panel Fairing #17 Large Smooth, Side A",Left Panel 5X11,Technic Beams with Shapes
E109,64393.0,,4558731.0,Black,"Technic Panel Fairing #6 Long Smooth, Side B",Right Panel 3X11,Technic Beams with Shapes
E110,64394.0,,4558775.0,Black,"Technic Panel Fairing #13 Large Short Smooth, Side A",Left Panel 5X7,Technic Beams with Shapes
E111,64680.0,,4558740.0,Black,"Technic Panel Fairing #14 Large Short Smooth, Side B",Right Panel 5X7,Technic Beams with Shapes
E112,64681.0,,4558774.0,Black,"Technic Panel Fairing #5 Long Smooth, Side A",Left Panel 3X11,Technic Beams with Shapes
C78,64682.0,,4543490.0,Black,"Technic Panel Fairing #18 Large Smooth, Side B",Right Panel 5X11,Technic Beams with Shapes
E113,64683.0,,4541924.0,Black,"Technic Panel Fairing # 3 Small Smooth Long, Side A",Left Panel 3X7,Technic Beams with Shapes
E114,64781.0,53504.0,4540906.0,Black,Technic Gear Rack 1 x 13 with Axle and Pin Holes,Rack 13M,Gears & Gear Racks
E115,85543.0,,4544140.0,White,Rubber Belt Small [15mm ID] [Round Cross Section],"V-Belt Ø15, White",Rubber Bands & Strings
E116,85544.0,,4544143.0,Bright Red,Technic Rubber Belt 24mm,"V-Belt Ø24, Red",Rubber Bands & Strings
E117,85545.0,70904.0,4544147.0,Bright Blue,Technic Rubber Belt Medium [26mm ID] [Round Cross Section],"V-Belt Ø26, Blue",Rubber Bands & Strings
E118,85546.0,70905.0,4544151.0,Bright Yellow,Technic Rubber Belt 33mm,"V-Belt Ø33, Yellow",Rubber Bands & Strings
C79,87080.0,,4566251.0,Black,"Technic Panel Fairing # 1 Small Smooth Short, Side A",Left Panel 3X5,Technic Beams with Shapes
C80,87082.0,44874.0,4560175.0,Medium Stone Grey,Technic Pin Connector Hub with 2 Pins with Friction Ridges Lengthwise [Big Squared Pin Holes],Double Bush 3M Ø4.9,Modified Technic Beams
C81,87083.0,,4560177.0,Dark Stone Grey,Technic Axle 4 with Stop,Cross Axle 4M With End Stop,Connectors
C82,87086.0,,4566249.0,Black,"Technic Panel Fairing # 2 Small Smooth Short, Side B",Right Panel 3x5,Technic Beams with Shapes
E123,87407.0,,4558690.0,Medium Stone Grey,Technic Gear 20 Tooth Bevel with Pin Hole,Cone Wheel Z20 Ø4.85,Gears & Gear Racks
E124,87408.0,49137.0,4558692.0,Black,Technic Pin Connector Toggle Joint Smooth Double with Axle and Pin Holes,Beam 3M Ø4.85 W. Fork,Modified Technic Half Beams
C83,88323.0,42479.0,6014648.0,Black,"Technic Link Tread Wide with Two Pin Holes, Reinforced","Track Element, 5X1, 5",Modified Tyres & Rims
E126,89201.0,24341.0,4639695.0,Black,"Tyre 24 x 14 Shallow Tread (Tread Small Hub), Band Around Center of Tread",Tyre Low Wide Ø24 X 14,Large Tyres & Rims
E127,92906.0,,4610374.0,Dark Stone Grey,Technic Steering / CV Joint Axle,Cardan Cup With Cross Axle 2M,Functional Elements
E128,92908.0,65124.0,4610377.0,Medium Stone Grey,"Technic, Steering Portal Axle Housing",Gear Block 3½ 6½ X 3,Vehicle Parts
E129,92909.0,,4610378.0,Dark Stone Grey,Technic Steering Hub for Portal Axle,3 Snap Gearblok,Vehicle Parts
E130,92910.0,65452.0,4610379.0,Medium Stone Grey,Technic Steering Ball Joint Large Open with C-Shape Pivot Frame,Power Joint Ballpart,Modified Technic Beams
C84,92911.0,65453.0,4610380.0,Dark Stone Grey,Technic Steering Ball Joint Large Receptacle,Power Joint,Modified Technic Beams
C85,94925.0,,4640536.0,Medium Stone Grey,Technic Gear 16 Tooth Reinforced [New Style],Gear Wheel Z16,Gears & Gear Racks
E132,98138.0,35380.0,4646864.0,Transparent Red,Tile Round 1 x 1,"Flat Tile 1X1, Round","Plates, Round & Angles"
E133,98578.0,,6027626.0,Transparent Blue,"Large Figure Weapon Spiked Ball, Half",Half Spike Ball,"Figure, Weapons"
E134,98585.0,31520.0,4654432.0,Transparent Light Blue,"Large Figure Weapon, Barrel with 2 Pin Holes and 3 Axle Holes",Weapon Barrel,Modified Technic Beams
E135,98989.0,49491.0,4652234.0,Medium Stone Grey,Technic Axle and Pin Connector Perpendicular Double 4L,Cross Block 2X4,Modified Technic Beams
E136,99008.0,,4666999.0,Brick Yellow,Technic Axle 4 with Centre Stop,Krydasksel M/Stop 4M,Connectors
C90,99009.0,,4652235.0,Medium Stone Grey,Technic Turntable Small Top,Lower Part for Turntable Z28,Functional Elements
C91,99010.0,39892.0,4652236.0,Black,Technic Turntable Small Base (28 Teeth),Upper Part for Turntable Z28,Functional Elements
C94,99773.0,65193.0,6009019.0,Medium Stone Grey,Technic Beam Triangle Thin [Type II],Triangel,Technic Half Beams
C95,99948.0,,6023956.0,Silver Metallic,Technic Steel Ball 18 mm,Steel Ball,Electric Parts
